,Ankle joint angle,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,35,,,,,,,,,
Subject,S04_L,S04_R,S05_L,S05_R,S02_L,S02_R,S01_L,S01_R,S03_L,S03_R,S04_L,S04_R,S05_L,S05_R,S02_L,S02_R,S01_L,S01_R,S03_L,S03_R
3DUS,89.5959,86.3282,115.6961,105.2692,104.0805,97.7291,83.5851,91.337,82.3563,80.2143,94.5064,93.0997,114.7724,112.0427,112.2999,99.3279,92.748,101.0348,88.5006,85.5467
DTI,83.1131973,89.998951,116.786026,125.874577,121.922729,132.711685,119.064331,128.047302,96.5218506,110.032272,62.7002277,60.7708893,110.173248,114.722145,116.54998,134.683968,119.106071,128.222229,94.4540253,120.090492
mean3D,90.1742,87.2388,112.0871,108.7644,105.6319,100.4134,87.6216,92.855,85.153,79.0489,98.1352,94.3685,113.3421,118.4312,120.937,102.9901,93.5454,105.1249,92.4925,88.7146
